contrast-1-0,correlation-1-0,dissimilarity-1-0,contrast-1-45,correlation-1-45,dissimilarity-1-45,contrast-1-90,correlation-1-90,dissimilarity-1-90,contrast-1-135,correlation-1-135,dissimilarity-1-135,Class
17.81121756,0.99524835,1.49323105,33.51380591,0.99107163,1.96891907,26.75466107,0.99286504,1.64761467,36.73709951,0.99021292,2.03422746,1
10.25629648,0.99609975,1.06348352,18.37356412,0.99302309,1.38640328,13.92815471,0.99470583,1.11405729,20.49638313,0.992217,1.43591913,1
13.5872115,0.99663277,1.32747269,25.93799847,0.99358121,1.7669848,19.28558503,0.99522251,1.43070325,26.51204239,0.99343915,1.77383801,1
11.07174319,0.99668295,1.17009936,25.45570615,0.99238451,1.61820159,18.35903352,0.99450195,1.30446274,23.69179449,0.99291221,1.5898577,1
9.485467,0.99745207,1.16846015,19.45328783,0.9947819,1.64328112,10.62565595,0.99714711,1.20510634,16.37410303,0.99560785,1.52739838,1
6.24247123,0.99793223,1.01811611,16.77094066,0.99445278,1.42975741,13.59596478,0.9954984,1.12459872,17.03383535,0.99436582,1.39901451,1
5.505743,0.99781798,0.93602086,14.20866967,0.99437711,1.30732858,10.45731147,0.99585748,1.01304366,12.75573339,0.99495209,1.28029043,1
4.65120993,0.99813264,0.84055934,11.46090788,0.99540527,1.21822902,8.96739374,0.99640148,0.97102844,12.75909626,0.99488482,1.21468072,1
5.21449867,0.99796201,0.94675283,13.5218992,0.99472279,1.3186785,10.58274748,0.99586576,1.04199785,13.51638263,0.99472494,1.31576955,1
9.69469322,0.99706794,1.08393309,18.4461526,0.99442895,1.44508058,16.54344093,0.99499872,1.16069306,25.36042556,0.99234072,1.50207161,1
7.41445278,0.99821275,1.02921642,17.6940158,0.99574088,1.46835795,12.07345043,0.9970909,1.17309622,15.92019517,0.99616785,1.45122877,1
11.00696373,0.99662072,1.23751311,19.69050034,0.99396347,1.57846143,14.7781304,0.99546484,1.22513389,21.7875657,0.99332058,1.57519321,1
12.56300526,0.99593503,1.30033517,22.73752446,0.99265354,1.68774591,16.28579146,0.99473275,1.32419126,22.70397691,0.99266438,1.67499367,1
11.37072457,0.99728232,1.21252391,20.27354731,0.99516149,1.59055886,13.56919643,0.99675823,1.25984497,20.25732018,0.99516536,1.61241846,1
13.44634014,0.9961942,1.23119542,26.57069651,0.99249007,1.63265554,21.92794056,0.99379626,1.31417652,31.59068828,0.99107122,1.67211563,1
10.94417446,0.99700325,1.20283717,20.67999838,0.99434505,1.60726503,13.06593021,0.99642381,1.2581453,19.3353074,0.99471275,1.59597306,1
9.20612716,0.9971594,1.09754235,18.62618864,0.9942612,1.48682378,13.07294689,0.99596809,1.17096825,18.78253009,0.99421303,1.49133593,1
11.70709718,0.99697849,1.27358334,28.35941149,0.9926911,1.74829684,22.07532373,0.99430494,1.40958182,28.30930844,0.99270401,1.74369776,1
6.68664568,0.99746551,1.01223426,18.10983112,0.99314554,1.41207773,14.50850221,0.99450318,1.15050276,18.00371828,0.9931857,1.44949229,1
6.62384099,0.99777195,1.03355357,19.04936326,0.99360174,1.50083347,14.67978107,0.99506433,1.17068658,17.81298132,0.99401701,1.43859629,1
9.27390733,0.99626051,1.17335655,18.99124418,0.992353,1.55763521,14.52029186,0.99414771,1.24695564,19.67764572,0.99207662,1.59393139,1
4.8673613,0.99778925,0.87990412,14.42492848,0.99345786,1.27298909,11.7397306,0.99467024,1.00945526,14.47550284,0.99343493,1.23654998,1
7.65652674,0.99796358,1.05768845,16.33102124,0.99566239,1.46364878,11.1788531,0.99702806,1.16668339,16.06712406,0.99573248,1.4641336,1
7.26650583,0.99841185,1.07896919,18.98322623,0.99585677,1.64686419,14.49068172,0.99683414,1.36786177,19.58442612,0.99572555,1.64460618,1
7.97233793,0.99768272,1.08743327,23.60314885,0.99314878,1.59457653,19.10622646,0.99444864,1.28518374,24.27978629,0.99295237,1.5803138,1
17.75471513,0.99476722,1.4750513,41.73790498,0.98771646,2.12292911,32.00360577,0.99057156,1.75629129,41.50551754,0.98778485,2.12830275,1
9.25120337,0.9962299,1.12373492,26.1765766,0.98934768,1.73544802,20.47931458,0.99165764,1.45072694,23.91707568,0.99026716,1.69166507,1
7.97228779,0.99688429,1.01292079,16.21736947,0.99367084,1.39825927,10.31365562,0.99597132,1.1172965,14.67037529,0.99427458,1.39093668,1
11.54168788,0.99656399,1.30177381,28.30417432,0.99158537,1.86694752,23.48381745,0.99301157,1.54442678,30.229295,0.99101304,1.86592378,1
13.87965727,0.99482524,1.33466205,28.68467085,0.98932045,1.89267606,21.30782157,0.9920594,1.55911802,27.05728077,0.98992634,1.85828828,1
15.02284281,0.99442508,1.38488344,33.56273457,0.98756252,1.99547239,24.47534997,0.99092142,1.6017506,31.241207,0.98842282,1.91681685,1
15.8686611,0.99427195,1.34803025,27.03190957,0.99025612,1.77730712,20.02757671,0.99277376,1.44625494,29.08125931,0.98951741,1.79587532,1
15.16294085,0.99487623,1.2653391,23.82574902,0.99196014,1.63045548,15.94896361,0.99461286,1.2988602,26.69891619,0.99099061,1.69096391,1
16.63563555,0.99488366,1.39369658,33.55648207,0.98969379,1.88401489,22.40694839,0.99311153,1.47854673,29.855163,0.99083057,1.81514855,1
14.62295581,0.99534872,1.36356413,31.10333138,0.99012004,1.85851814,22.48542065,0.99285062,1.5063646,28.26634834,0.9910212,1.8261276,1
10.77132702,0.99599505,1.23467054,21.90898625,0.99186506,1.68361428,18.11728493,0.9932661,1.39539025,23.46840624,0.99128603,1.6851634,1
8.19560924,0.99658234,1.10426116,17.16654015,0.99285149,1.53139867,13.49654278,0.99437395,1.24123349,17.91766674,0.99253871,1.51171595,1
11.97008547,0.99489271,1.30463374,25.89657397,0.98896648,1.82366099,20.73546117,0.9911563,1.52114073,25.52329766,0.98912552,1.81508481,1
8.30230029,0.99708129,1.06517094,14.80040872,0.99480417,1.43782366,8.39439861,0.99705039,1.08319121,14.6742365,0.99484846,1.41169142,1
12.09686545,0.99525409,1.19336257,28.22054691,0.98894415,1.73012461,20.71238347,0.99187727,1.41936505,24.6808135,0.99033089,1.6640378,1
8.14344009,0.9962985,1.0655065,16.93170347,0.99231473,1.4836927,14.93157913,0.99321585,1.24920708,20.23200113,0.99081674,1.53083658,1
9.23983693,0.99573852,1.12434432,21.50837819,0.99009399,1.60052577,18.46064715,0.99148953,1.34889338,23.04984229,0.98938405,1.61386135,1
16.0540282,0.99492701,1.44735644,37.3531474,0.9882131,2.07437712,30.66857405,0.99031264,1.74991897,38.76051596,0.987769,2.09406177,1
10.66289649,0.99587843,1.20515328,25.32577509,0.99022458,1.76559793,20.00727327,0.99226961,1.46841431,25.39447532,0.99019806,1.76070526,1
9.49793267,0.9969782,1.16721821,17.54875191,0.99442451,1.52882582,13.41442231,0.99573372,1.2345004,18.53979908,0.99410963,1.52691742,1
14.86866881,0.99498344,1.38850512,25.15717782,0.9915241,1.75081174,20.0938426,0.9932232,1.44281316,28.27842646,0.99047249,1.8043839,1
22.78398747,0.99446512,1.66714879,49.47654009,0.98799711,2.33147709,38.48222581,0.99065498,1.96398668,49.58431795,0.98797096,2.3196211,1
11.78403954,0.9953436,1.1745175,20.67713579,0.9918412,1.51561193,16.66310463,0.99341815,1.23418979,22.69473048,0.99104509,1.53025904,1
15.29050572,0.99471468,1.34925869,26.15852219,0.99097091,1.74177778,19.48313449,0.99326815,1.41960427,25.97669751,0.99103367,1.7269916,1
11.53569803,0.9960767,1.15100551,21.95994113,0.99254201,1.5564473,14.92463383,0.9949266,1.24986302,22.0739599,0.99250329,1.56663634,1
24.64459525,0.99364557,1.79125976,52.75702368,0.98641632,2.48224209,39.30929551,0.98986838,2.05354635,47.04312814,0.98788751,2.39889475,1
9.47233215,0.99606759,1.08030755,20.70873631,0.99141547,1.54168816,14.44509353,0.99400582,1.25246172,19.83109368,0.99177928,1.53988214,1
14.41869157,0.99462226,1.3124325,25.51184343,0.99049882,1.72225345,17.55403638,0.9934556,1.38800122,25.1693699,0.99062636,1.72730451,1
14.91313177,0.99437197,1.24123507,26.32452536,0.99008004,1.61644579,16.43508458,0.99380023,1.24051966,24.32012331,0.99083537,1.58035437,1
